DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
06/18/2016,2:00,,,40.678406,-73.832214,"(40.678406, -73.832214)",ROCKAWAY BOULEVARD              ,107 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3463343,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/18/2016,2:00,,,,,,HENRY HUDSON PARKWAY            ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3464131,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/18/2016,2:00,STATEN ISLAND,10306,40.58271,-74.10062,"(40.58271, -74.10062)",HUSSON STREET                   ,JEFFERSON AVENUE,,0,0,0,0,0,0,0,0,Outside Car Distraction,,,,,3464903,PASSENGER VEHICLE,,,,
06/18/2016,2:00,BROOKLYN,11210,40.632378,-73.94277,"(40.632378, -73.94277)",,,929       EAST 35 STREET                ,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,3484590,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/18/2016,23:59,,,,,,MACOMBS DAM BRIDGE              ,,,2,0,0,0,0,0,2,0,Following Too Closely,Unspecified,,,,3465685,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/18/2016,23:55,,,40.71351,-73.95669,"(40.71351, -73.95669)",HOPE STREET                     ,,,2,0,0,0,0,0,2,0,Failure to Yield Right-of-Way,Driver Inexperience,,,,3463799,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/18/2016,23:50,,,,,,BROOKLYN QUEENS EXPRESSWAY      ,,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,3465324,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/18/2016,23:50,BRONX,10460,40.839245,-73.8701,"(40.839245, -73.8701)",ROSEDALE AVENUE                 ,EAST TREMONT AVENUE,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3464227,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
06/18/2016,23:48,BROOKLYN,11216,40.680176,-73.94547,"(40.680176, -73.94547)",,,1389      FULTON STREET                 ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3484781,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/18/2016,23:45,MANHATTAN,10036,40.75484,-73.98412,"(40.75484, -73.98412)",WEST 42 STREET                  ,AVENUE OF THE AMERICAS,,1,0,1,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,,3463972,PASSENGER VEHICLE,,,,
